document_id,passage_count,original_mean,shuffled_mean,original_actor_overlap_proportion,shuffled_actor_overlap_proportion
001-58068,51,0.5189561875164509,0.3665522913318128,0.9444444444444444,0.2342857142857143
001-58098,46,0.514187651210361,0.4008475960046053,0.875,0.6633333333333333
001-58116,90,0.5496549338437198,0.4156289998567506,0.7272727272727273,0.570952380952381
001-58208,61,0.5669733181595802,0.43957657776772974,0.8095238095238095,0.6819047619047619
001-58272,107,0.5337385673005626,0.3588958642045739,0.7419354838709677,0.6318570318570319
001-58274,108,0.5413920252679665,0.36775072655405533,0.7241379310344828,0.5129870129870129
001-58448,100,0.5804848637093197,0.4224936572816035,0.8181818181818182,0.5266666666666666
001-58497,90,0.5561110410797462,0.40267389346374555,0.3333333333333333,0.49999999999999994
001-58586,99,0.5380542686551201,0.4132985078957768,0.6470588235294118,0.5675490196078431
001-58736,178,0.5751307340665052,0.4245869957920859,0.8863636363636364,0.4673076923076923
001-58911,32,0.5677192384196866,0.42912196795786584,0.5555555555555556,0.7166666666666666
001-58922,37,0.5825836530162228,0.43899201961855094,1.0,0.8225396825396825
001-59160,68,0.5822309146621334,0.4377258811868838,0.9130434782608695,0.39714285714285713
001-59194,208,0.5826834862070959,0.3983829074903675,0.8615384615384616,0.6244274322169059
001-59221,53,0.5609735353634908,0.4204085012700839,0.9230769230769231,0.3933333333333333
001-59353,143,0.5862808895467873,0.4139500105228852,0.9361702127659575,0.8285714285714286
001-59621,54,0.5161547388108272,0.40416748695216087,0.875,0.44102564102564096
001-59868,32,0.5403567051454898,0.3690847086449785,0.8333333333333334,0.6
001-59998,48,0.5608264734136298,0.4390437136939232,0.8333333333333334,0.4619047619047619
001-60163,66,0.521340354360067,0.39540845462049423,0.9615384615384616,0.6322727272727273
001-60324,20,0.5588336790862837,0.4198489189147949,0.3333333333333333,0.45
001-60431,67,0.556262831344749,0.44455627627444994,0.9117647058823529,0.27519349845201235
001-60492,16,0.5389100134372711,0.39188881665468217,0.6666666666666666,0.5555555555555555
001-60612,18,0.5465464802349315,0.3905014609589296,0.8,0.5
001-60696,24,0.5507374729799188,0.4216627203899881,0.5,0.3666666666666666
001-60733,35,0.5228171199560165,0.40434482088860346,0.75,0.6066666666666667
001-60791,58,0.6222919424374899,0.4461348028036586,0.9473684210526315,0.7295238095238095
001-60824,94,0.6073365702584226,0.4377800393549185,0.8928571428571429,0.43328449328449337
001-60891,40,0.6242442165429776,0.46908843490557794,0.8333333333333334,0.3
001-60898,128,0.5783812630129611,0.4114024609884644,0.9253731343283582,0.5719066975752035
001-60915,104,0.5846816738253658,0.4471561540659625,0.9428571428571428,0.7105128205128206
001-60917,35,0.5029557754888254,0.3934805886436473,0.8666666666666667,0.5977777777777779
001-60958,61,0.5382279252323011,0.41371748598602914,0.9130434782608695,0.5774025974025974
001-61002,50,0.5588393612783782,0.4139568087093684,0.9285714285714286,0.5733333333333334
001-61069,73,0.5947544953475395,0.4400959025447567,0.8387096774193549,0.34638694638694634
001-61099,60,0.5590098606327832,0.4011749904034502,0.7407407407407407,0.3595238095238095
001-61135,27,0.5145475319944895,0.3578707012706078,1.0,1.0
001-61164,79,0.5755273285202491,0.43678865397396766,0.9655172413793104,0.42666666666666664
001-61184,67,0.6006328937682238,0.43595605503880613,0.9230769230769231,0.6199999999999999
001-61228,50,0.6017906805690454,0.4282518283292955,0.9,0.41944444444444445
001-61247,39,0.5185934646349204,0.3890910437624705,0.9375,0.6847619047619048
001-61294,102,0.5414649816137729,0.3678093801095787,0.9473684210526315,0.55
001-61619,54,0.5812358579264497,0.46960446934725314,0.9523809523809523,0.40499999999999997
001-61628,43,0.6012700242655618,0.48337914156062256,0.7777777777777778,0.4514285714285714
001-61653,45,0.5983423499221151,0.45896617370572956,0.7647058823529411,0.7222222222222221
001-61663,93,0.5693666371314422,0.4172851938835305,0.9130434782608695,0.538888888888889
001-61686,97,0.5790197034366429,0.38274151928296,0.8867924528301887,0.45895274584929757
001-61747,53,0.5681625919846388,0.43433860336931857,0.9047619047619048,0.530050505050505
001-61798,44,0.5593969582818276,0.44613447549731233,0.9285714285714286,0.29
001-61853,115,0.5671942556897799,0.40136331160176997,0.9318181818181818,0.5985448916408668
001-67418,74,0.606175922673859,0.4611680289054264,0.9615384615384616,0.5274592074592075
001-67472,40,0.5054527177260473,0.3681066845669053,1.0,1.0
001-67478,51,0.5370701217651367,0.4066326837949455,1.0,0.44666666666666666
001-67930,35,0.536128942580784,0.3750034165733001,0.9090909090909091,0.55
